YUBI Glove Assy_PARTS LIST,,,,,,,,,,
,,,,,,,,,,YUBI Glove Assy_Right-handed
No.,PART No.,TYPE,PART NAME,Qty.,MATERIAL,REMARKS,FILE NAME (STL/STEP),Vendor,Link
1,UPPER PLATE_AS5601,3D-PRINTED ,UPPER PLATE_AS5601,1,PLA_BLACK,,UPPER PLATE_AS5601,,
2,UNDER PLATE,3D-PRINTED ,UNDER PLATE,1,PLA_BLACK,,UNDER PLATE,,
3,FINGER ATTACHMENT_R_Glove,3D-PRINTED ,FINGER ATTACHMENT_R_Glove,1,PLA_BLACK,,FINGER ATTACHMENT_R_Glove,,
4,FINGER ATTACHMENT_L_Glove,3D-PRINTED ,FINGER ATTACHMENT_L_Glove,1,PLA_BLACK,,FINGER ATTACHMENT_L_Glove,,
5,FINGER PAD_t30_R,3D-PRINTED ,FINGER PAD_t30_R,1,PLA_RED,Right,FINGER PAD_t30_R,,
6,FINGER PAD_t30_L,3D-PRINTED ,FINGER PAD_t30_L,1,PLA_RED,Left,FINGER PAD_t30_L,,
7,FINGER PAD_t20,3D-PRINTED ,FINGER PAD_t20,1,PLA_RED,reversible,FINGER PAD_t20,,
8,FLAP_R_AIRoA,3D-PRINTED ,FLAP_R_AIRoA,1,PLA_BLACK,,FLAP_R_AIRoA,,
9,FLAP_L_AIRoA,3D-PRINTED ,FLAP_L_AIRoA,1,PLA_BLACK,,FLAP_L_AIRoA,,
10,BRACKET_CAMERA,3D-PRINTED ,BRACKET_CAMERA,1,PLA_BLACK,,BRACKET_CAMERA,,
11,GRIP,3D-PRINTED ,GRIP,1,PLA_BLACK,,GRIP,,
12,HOLDER_Quest_R,3D-PRINTED ,HOLDER_Quest_R,1,PLA_BLACK,Right,HOLDER_Quest_R,,
13,COVER_PCB_R,3D-PRINTED ,COVER_PCB_R,1,PLA_BLACK,Right,COVER_PCB_R,,
14,COVER_CABLE_R,3D-PRINTED ,COVER_CABLE_R,1,PLA_BLACK,Right,COVER_CABLE_R,,
15,HOLDER_Quest_L,3D-PRINTED ,HOLDER_Quest_L,1,PLA_BLACK,Left,HOLDER_Quest_L,,
16,COVER_PCB_L,3D-PRINTED ,COVER_PCB_L,1,PLA_BLACK,Left,COVER_PCB_L,,
17,COVER_CABLE_L,3D-PRINTED ,COVER_CABLE_L,1,PLA_BLACK,Left,COVER_CABLE_L,,,YUBI Glove Assy_Left-handed
18,MAGNET STAY_AS5601,3D-PRINTED ,MAGNET STAY,1,PLA_BLACK,,MAGNET STAY_AS5601,,
19,SPACER,3D-PRINTED ,SPACER,2,PLA_BLACK,,SPACER,,
20,MetaQuestTouchPlus_R,STANDARD,MetaQuestTouchPlus Controller_R,1,N/A,Right / Standard controller for YUBI (used with Quest 3S),,meta,https://www.meta.com/quest/accessories/quest-touch-plus-controller/
21,MetaQuestTouchPlus_L,STANDARD,MetaQuestTouchPlus Controller_L,1,N/A,Left / Standard controller for YUBI (used with Quest 3S),,meta,https://www.meta.com/quest/accessories/quest-touch-plus-controller/
22,USB CAMERA_ELP-USBFHD01M-L180,STANDARD,CAMERA,1,N/A,,,elp,http://www.elpcctv.com/180-degree-fisheye-lens-full-hd-1080p-usb-camera-module-usb20-ov2710-color-sensor-mjpeg-p-206.html
